Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time
23297,-1.316099,-2.816453,11.007378,-0.28,-14.56,-0.14,-84.695793,-73.997894,-79.558807,1241,23.297
23317,-0.792053,-2.316335,10.95234,6.02,-9.1,4.27,-84.882141,-77.15818,-80.53833,1242,23.317
23337,-0.442688,-2.6992,11.368707,9.17,-6.58,4.55,-84.669281,-75.592232,-79.561241,1243,23.337
23352,-0.423545,-2.06508,10.636477,10.71,-5.74,1.33,-83.129417,-74.779182,-78.305939,1244,23.352
23372,-1.057665,-1.708536,9.760673,4.97,-3.57,2.45,-84.868332,-72.915077,-80.066643,1245,23.372
23392,-0.291935,-2.321121,9.873138,0.35,-0.98,6.23,-86.084915,-74.298431,-80.163521,1246,23.392
23412,-0.607799,-1.96697,9.502238,0.56,-0.21,7.0,-82.898262,-78.00914,-79.160431,1247,23.412
23428,-0.229719,-1.993292,9.435237,-1.68,-2.87,6.16,-84.383675,-76.170456,-79.525467,1248,23.428
23448,0.110074,-2.232583,9.39695,0.77,-6.02,4.69,-85.676399,-74.09021,-79.148056,1249,23.448
23468,0.528833,-2.316335,9.779816,2.94,-9.31,2.52,-85.62545,-74.639053,-79.946609,1250,23.468
23488,0.624549,-2.012436,10.021499,8.19,-10.85,-0.98,-84.577591,-73.21244,-78.719444,1251,23.488
23503,0.717872,-2.132081,10.241647,11.55,-9.31,-1.12,-84.031677,-75.974129,-80.193954,1252,23.503
23523,0.416366,-1.995685,10.311041,14.42,-5.39,0.35,-83.132805,-73.459763,-78.772964,1253,23.523
23543,0.284756,-1.885612,10.287112,14.56,-1.47,2.1,-85.068375,-75.79847,-80.296051,1254,23.543
23563,0.009572,-1.567355,10.033463,10.99,1.26,3.29,-82.763725,-74.859756,-79.724541,1255,23.563
23578,-0.11486,-1.502746,9.937747,3.22,1.68,2.87,-84.405479,-74.575127,-79.382713,1256,23.578
23598,-0.236898,-1.399851,9.875532,-6.16,0.91,1.4,-83.731522,-76.269508,-78.566093,1257,23.598
23618,-0.287149,-1.552997,9.822887,-15.75,-0.98,0.21,-82.836464,-72.715584,-78.783218,1258,23.618
23638,-0.275184,-1.74443,9.84921,-23.940001,-2.66,-0.84,-84.512512,-73.758308,-79.097015,1259,23.638
23653,-0.270399,-2.151224,10.002356,-28.42,-4.13,-1.68,-83.413269,-72.60067,-77.497307,1260,23.653
23673,-0.153146,-2.500589,10.100465,-29.33,-4.9,-1.61,-84.694153,-76.917603,-79.936203,1261,23.673
23693,-0.143574,-2.821239,10.119608,-24.43,-4.83,-1.12,-84.869652,-74.235497,-79.739952,1262,23.693
23713,-0.090931,-2.907383,10.009535,-16.24,-4.34,-0.49,-83.186829,-75.831619,-78.492119,1263,23.713
23728,-0.088538,-2.806881,9.801352,-7.49,-4.2,-0.7,-83.305023,-76.617073,-79.33149,1264,23.728
23748,-0.014357,-2.615448,9.736743,-0.98,-4.48,-1.05,-83.34359,-77.665543,-78.956352,1265,23.748
23768,0.004786,-2.500589,9.770244,2.31,-4.48,-0.84,-83.177834,-76.109512,-79.382561,1266,23.768
23788,0.040679,-2.390515,9.837245,3.15,-3.78,-0.21,-84.702248,-75.599167,-80.543556,1267,23.788
23803,0.014357,-2.347443,9.810924,2.24,-3.22,0.14,-83.600052,-76.040833,-79.647926,1268,23.803
23823,0.007179,-2.285227,9.834852,0.63,-2.52,0.49,-82.554817,-77.255051,-77.76738,1269,23.823
23843,-0.100502,-2.294799,9.995177,-0.98,-2.24,0.7,-82.752235,-77.497612,-78.650169,1270,23.843
23863,-0.095716,-2.323514,9.942533,-3.29,-2.38,0.49,-84.995201,-77.662766,-80.066284,1271,23.863
23878,-0.088538,-2.380944,9.947319,-5.18,-2.87,0.0,-83.824852,-75.729591,-79.030502,1272,23.878
23898,-0.067001,-2.392908,9.851603,-6.58,-3.43,-0.42,-84.220993,-77.535126,-80.469398,1273,23.898
23918,-0.045465,-2.56759,9.875532,-8.05,-3.85,-0.35,-84.106285,-79.950249,-81.318848,1274,23.918
23938,0.01675,-2.651342,9.861175,-6.93,-3.71,-0.21,-84.39135,-74.572151,-78.961723,1275,23.938
23953,0.023929,-2.725522,9.834852,-4.27,-2.73,0.49,-82.972755,-77.465256,-79.063522,1276,23.953
