Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,acc_ma_x,acc_ma_y,acc_ma_z,acc_diff_x,acc_diff_y,acc_diff_z,
609749,-5.927233,6.508710,-3.464931,8.680000,0.070000,0.770000,-47.731365,81.502068,58.925877,3.86,-5.927233,6.50871,-3.464931,-5.927233,6.50871,-3.464931,
609769,-6.034914,6.917897,-3.572612,2.380000,-0.490000,1.750000,-46.376961,80.195366,57.703869,3.88,-5.9810735,6.7133035,-3.5187714999999997,-0.10768099999999947,0.4091870000000002,-0.10768099999999992,
609789,-6.518281,7.138045,-3.835832,-5.460000,-4.900000,2.380000,-46.719536,80.001030,58.653015,3.9,-6.276597499999999,7.027971,-3.7042219999999997,-0.4833670000000003,0.220148,-0.26322,
609809,-6.671428,7.020792,-3.960263,-9.520000,-2.450000,-1.470000,-45.195122,79.490685,59.814011,3.92,-6.5948545,7.0794185,-3.8980474999999997,-0.1531469999999997,-0.11725299999999983,-0.12443099999999996,
609825,-6.649891,6.214382,-3.531932,-6.720000,-1.470000,-0.420000,-43.486107,80.540359,61.110115,3.94,-6.6606594999999995,6.617587,-3.7460975,0.021536999999999473,-0.8064100000000005,0.428331,
609845,-6.061236,6.130630,-3.610898,2.450000,1.260000,-1.470000,-44.981487,77.577171,58.071518,3.96,-6.355563500000001,6.172506,-3.571415,0.5886550000000002,-0.0837519999999996,-0.07896600000000031,
609865,-6.133023,6.664249,-3.838225,2.730000,4.550000,-3.080000,-45.291847,81.350029,58.882584,3.98,-6.097129499999999,6.3974395,-3.7245615,-0.0717869999999996,0.5336189999999998,-0.22732699999999983,
609885,-6.350778,6.731250,-3.787973,-3.920000,5.250000,-5.180000,-44.872272,78.640518,59.801327,4.0,-6.2419005,6.6977495000000005,-3.8130990000000002,-0.21775500000000036,0.06700100000000031,0.05025199999999996,
609900,-6.530246,6.415387,-4.029657,-7.350000,2.030000,-5.250000,-45.664001,79.829330,59.316437,4.02,-6.440512,6.5733185,-3.908815,-0.17946799999999996,-0.3158630000000002,-0.24168400000000023,
609920,-6.487174,6.530246,-3.907619,-3.920000,0.210000,-4.480000,-45.520153,78.460686,57.811184,4.04,-6.508710000000001,6.4728165,-3.9686380000000003,0.043071999999999555,0.11485900000000004,0.12203800000000031,
609940,-6.666642,6.685785,-3.941120,-0.630000,-0.840000,-3.850000,-44.240704,76.937210,59.354969,4.06,-6.576908,6.6080155000000005,-3.9243695,-0.17946799999999996,0.1555390000000001,-0.033501000000000225,
609960,-6.635534,6.779109,-3.912405,0.140000,-3.430000,-4.480000,-44.332283,79.077415,59.734970,4.08,-6.651088,6.7324470000000005,-3.9267625,0.03110800000000058,0.09332399999999996,0.028715000000000046,
609975,-6.520675,6.542211,-3.792759,0.070000,-5.810000,-4.830000,-46.297325,79.932350,58.918381,4.1,-6.5781045,6.66066,-3.852582,0.11485900000000004,-0.23689800000000005,0.11964599999999992,
609995,-6.336421,6.477602,-3.780795,1.260000,-7.210000,-4.760000,-45.285065,78.711182,59.816616,4.12,-6.428547999999999,6.5099065,-3.786777,0.18425400000000014,-0.06460899999999992,0.011964000000000308,
610015,-6.255062,6.511103,-3.742508,2.030000,-7.350000,-4.900000,-47.070755,76.325241,56.601913,4.14,-6.2957415,6.4943525,-3.7616515,0.08135899999999996,0.033501000000000225,0.03828699999999996,
610035,-6.338813,6.468030,-3.725758,1.680000,-7.210000,-5.040000,-45.313324,78.705231,58.974636,4.16,-6.2969375,6.4895665000000005,-3.734133,-0.08375100000000035,-0.04307300000000058,0.016750000000000043,
610050,-6.355564,6.434530,-3.756866,1.330000,-7.350000,-4.760000,-47.609310,81.728760,57.563385,4.18,-6.3471885,6.45128,-3.7413119999999997,-0.016751000000000182,-0.033500000000000085,-0.031108000000000136,
610070,-6.369921,6.360350,-3.749687,1.260000,-6.720000,-4.130000,-44.947197,78.904526,58.727139,4.2,-6.3627424999999995,6.39744,-3.7532765,-0.014356999999999509,-0.07417999999999925,0.007178999999999824,
610090,-6.396243,6.530246,-3.730544,1.960000,-5.950000,-3.500000,-46.533298,78.641312,58.410736,4.22,-6.383082,6.445298,-3.7401155,-0.0263220000000004,0.1698959999999996,0.019143000000000132,
610110,-6.448887,6.570926,-3.723365,0.910000,-5.250000,-3.010000,-46.615463,80.783508,59.071396,4.24,-6.4225650000000005,6.550586,-3.7269544999999997,-0.05264399999999991,0.04068000000000005,0.0071790000000002685,
610125,-6.434530,6.513496,-3.658756,-0.350000,-5.390000,-2.240000,-45.994633,77.757797,58.671066,4.26,-6.4417085,6.542211,-3.6910605,0.014357000000000397,-0.05743000000000009,0.06460899999999992,
610145,-6.384279,6.508710,-3.637220,0.980000,-5.110000,-1.680000,-44.581959,78.063286,59.977428,4.28,-6.4094045,6.511103,-3.647988,0.05025099999999938,-0.004786000000000179,0.021535999999999778,
610165,-6.326849,6.570926,-3.632434,2.240000,-4.480000,-1.470000,-45.153595,78.939857,58.734787,4.3,-6.355564,6.539818,-3.634827,0.05743000000000009,0.06221600000000027,0.004786000000000179,
610185,-6.310099,6.525460,-3.709008,1.680000,-4.200000,-0.840000,-46.009972,80.954414,59.798565,4.32,-6.318474,6.5481929999999995,-3.670721,0.016750000000000043,-0.04546600000000023,-0.07657399999999992,
610201,-6.348385,6.611605,-3.735330,1.190000,-3.780000,-0.700000,-45.925278,76.933044,57.262730,4.34,-6.329242000000001,6.5685325,-3.722169,-0.038286000000000264,0.08614500000000014,-0.026321999999999957,
610221,-6.334028,6.573318,-3.799938,0.560000,-3.220000,-0.770000,-46.511932,76.766106,57.096878,4.36,-6.3412065,6.592461500000001,-3.767634,0.014357000000000397,-0.038286999999999516,-0.06460800000000022,
610241,-6.367528,6.570926,-3.747294,0.350000,-2.800000,-0.980000,-46.361080,81.798630,58.969265,4.38,-6.350778,6.572122,-3.773616,-0.033500000000000085,-0.002392000000000394,0.05264399999999991,
610261,-6.424958,6.551782,-3.787973,0.140000,-2.590000,-0.770000,-44.885082,79.957962,59.053650,4.4,-6.396243,6.561354,-3.7676335,-0.05743000000000009,-0.019143999999999828,-0.04067899999999991,
610276,-6.444101,6.525460,-3.766437,0.280000,-3.010000,-0.420000,-47.131012,81.392105,58.341618,4.42,-6.4345295,6.538621,-3.777205,-0.019142999999999688,-0.0263220000000004,0.02153600000000022,
610296,-6.496746,6.527853,-3.689864,1.260000,-3.010000,-0.070000,-46.108444,81.213470,58.022728,4.44,-6.4704235,6.5266565,-3.7281505,-0.05264500000000005,0.0023930000000005336,0.07657299999999978,
610316,-6.463245,6.515889,-3.692257,2.100000,-2.800000,0.070000,-45.410938,79.524033,59.540993,4.46,-6.479995499999999,6.521871,-3.6910605,0.033501000000000225,-0.011964000000000752,-0.0023930000000000895,
610336,-6.482388,6.468030,-3.730544,2.520000,-2.940000,0.140000,-45.566391,79.010521,58.750076,4.48,-6.4728165,6.4919595,-3.7114005,-0.019143000000000576,-0.047858999999999874,-0.03828699999999996,
610352,-6.439316,6.513496,-3.797545,2.310000,-3.290000,-0.070000,-45.774105,77.725441,59.084412,4.5,-6.460852,6.490762999999999,-3.7640445,0.04307200000000044,0.04546600000000023,-0.06700099999999987,
610372,-6.441709,6.448887,-3.807117,2.100000,-3.850000,-0.280000,-44.928356,78.908493,59.288460,4.52,-6.4405125000000005,6.4811914999999996,-3.8023309999999997,-0.0023930000000005336,-0.06460899999999992,-0.009571999999999914,
610392,-6.532639,6.489567,-3.780795,2.660000,-4.620000,-0.420000,-46.659603,79.174294,56.964016,4.54,-6.4871739999999996,6.469227,-3.7939559999999997,-0.09092999999999929,0.04068000000000005,0.026321999999999957,
610412,-6.508710,6.551782,-3.759259,2.940000,-4.970000,-0.490000,-46.396687,79.150856,58.640331,4.56,-6.5206745,6.5206745,-3.770027,0.023928999999999867,0.06221500000000013,0.021535999999999778,
