Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,Id,Time,gesture_id
1254549,9.071514,0.681979,-1.045701,-163.589996,-15.47,-62.299999,54.968399,19.740519,184.671814,-0.4379029999999986,-0.815981,1.048094,9.2904655,1.0899695,-1.5697479999999997,458,9.16,19
1254569,8.714972,1.524282,-0.397223,-150.850006,-29.190001,-57.540001,54.590778,22.179079,183.844955,-0.356542000000001,0.8423029999999999,0.648478,8.893243000000002,1.1031305,-0.7214619999999998,459,9.18,19
1254589,8.820259,2.792524,-1.031343,-116.480003,-37.799999,-49.490002,52.852406,28.843056,184.477158,0.1052870000000005,1.268242,-0.6341199999999999,8.767615500000002,2.158403,-0.7142829999999997,460,9.2,19
1254609,9.423272,4.201947,-2.225405,-83.93,-40.950001,-39.41,52.027596,25.504919,181.788147,0.6030130000000007,1.409423,-1.194062,9.121765500000002,3.4972354999999995,-1.6283739999999995,461,9.22,19
1254629,10.043036,4.59199,-2.921741,-55.860001,-39.549999,-24.92,53.420219,29.006033,184.08168,0.619764,0.3900430000000003,-0.6963360000000001,9.733154000000004,4.3969685,-2.5735729999999997,462,9.24,19
1254649,10.203361,4.390986,-4.139731,-32.41,-33.18,-11.9,52.95266,30.665087,183.257416,0.1603249999999985,-0.2010040000000001,-1.2179900000000004,10.1231985,4.491488,-3.530736,463,9.26,19
1254668,9.889889,3.608505,-5.451045,-22.960001,-24.01,-2.1,52.084225,30.036819,184.693909,-0.3134719999999991,-0.7824809999999998,-1.3113139999999994,10.046625,3.9997455,-4.795387999999999,464,9.28,19
1254688,9.377807,2.316335,-5.876982,-14.35,-21.49,9.1,52.323158,29.728554,184.497482,-0.5120819999999995,-1.29217,-0.4259370000000002,9.633848,2.9624200000000007,-5.664013499999999,465,9.3,19
1254708,9.45438,2.017221,-5.661621,3.43,-17.290001,16.799999,50.404785,30.31352,183.913101,0.0765729999999997,-0.2991139999999999,0.2153609999999997,9.416093500000002,2.1667780000000008,-5.769301499999999,466,9.32,19
1254728,9.198339,2.711165,-4.422094,15.05,-12.39,20.23,50.119183,30.891745,183.877319,-0.2560409999999997,0.6939439999999997,1.2395269999999998,9.326359500000002,2.364193,-5.0418575,467,9.34,19
1254748,9.093051,2.981564,-3.577398,18.34,-7.63,22.82,52.01487,30.861567,186.102249,-0.1052879999999998,0.2703990000000003,0.8446960000000003,9.145695000000002,2.8463645000000004,-3.999746,468,9.36,19
1254768,8.848974,2.696807,-3.163424,20.02,-5.11,25.83,51.342979,29.916115,186.079346,-0.2440770000000007,-0.2847569999999999,0.413974,8.9710125,2.8391855000000006,-3.370411,469,9.38,19
1254788,8.834617,2.077044,-3.402715,19.32,-1.4,24.99,51.173397,29.399632,184.867432,-0.0143570000000003,-0.6197630000000003,-0.2392910000000001,8.8417955,2.3869255000000003,-3.2830695,470,9.4,19
1254808,8.554646,1.500353,-3.598934,12.74,3.22,20.16,53.221466,26.962261,187.365555,-0.2799709999999997,-0.5766909999999998,-0.1962189999999997,8.6946315,1.7886985000000004,-3.5008244999999993,471,9.42,19
1254828,8.35125,0.949984,-3.486467,5.81,5.53,13.09,50.311775,26.61331,183.39798,-0.2033959999999997,-0.550369,0.1124669999999996,8.452948000000001,1.2251685000000003,-3.5427004999999996,472,9.44,19
1254848,8.413465,0.942806,-3.017457,5.25,3.5,7.35,51.854706,30.347067,185.171005,0.0622150000000001,-0.007178,0.4690100000000003,8.382357500000001,0.9463950000000004,-3.251962,473,9.46,19
1254868,8.633613,1.42378,-2.811667,11.69,-1.05,3.15,52.693108,28.8883,185.888092,0.220148,0.480974,0.2057899999999999,8.523539000000001,1.1832930000000004,-2.914561999999999,474,9.48,19
1254888,8.688649,1.62957,-2.885847,10.92,-4.97,-0.56,51.730907,28.520079,185.689087,0.0550359999999994,0.2057899999999999,-0.0741800000000001,8.661131000000001,1.5266750000000004,-2.8487569999999995,475,9.5,19
1254908,8.77958,1.416602,-3.273498,2.94,-6.51,-3.64,51.007214,27.563721,184.122543,0.0909309999999994,-0.212968,-0.3876509999999999,8.7341145,1.5230860000000002,-3.0796724999999996,476,9.52,19
1254928,8.923154,1.174918,-3.555861,-5.53,-6.44,-5.88,49.888351,29.881577,184.681107,0.1435740000000009,-0.241684,-0.2823630000000001,8.851367,1.2957600000000002,-3.4146794999999996,477,9.54,19
1254948,8.92794,1.548212,-3.709008,-9.8,-5.25,-7.35,51.842216,27.424379,184.37262,0.0047859999999992,0.373294,-0.1531469999999997,8.925547000000002,1.361565,-3.6324345,478,9.56,19
1254968,9.207911,1.835361,-3.728151,-10.57,-2.66,-8.05,52.449894,29.475447,187.115295,0.2799709999999997,0.2871490000000001,-0.0191430000000001,9.0679255,1.6917865000000003,-3.7185795,479,9.58,19
1254988,9.114587,1.93347,-3.632434,-9.17,0.21,-7.42,50.584106,26.59186,185.35495,-0.093323999999999,0.098109,0.095717,9.161249000000002,1.8844155,-3.6802924999999993,480,9.6,19
1255008,9.090658,2.026793,-3.644399,-6.37,2.66,-6.79,50.625748,30.561037,185.497543,-0.0239290000000007,0.093323,-0.011965,9.1026225,1.9801315000000008,-3.638416499999999,481,9.62,19
1255028,8.889653,1.885612,-3.69465,-3.85,3.92,-6.79,50.647545,28.965702,185.354782,-0.2010050000000003,-0.141181,-0.0502510000000002,8.9901555,1.9562025000000007,-3.6695245,482,9.64,19
1255048,8.772401,1.921505,-3.606112,-0.21,4.2,-6.93,50.707481,28.138971,183.665771,-0.1172519999999988,0.0358929999999999,0.0885380000000002,8.831027,1.9035585000000004,-3.650380999999999,483,9.66,19
1255068,8.791544,2.163189,-3.50561,2.66,3.64,-6.37,49.860092,29.875629,183.839127,0.0191429999999996,0.241684,0.100502,8.781972500000002,2.0423470000000004,-3.5558609999999993,484,9.68,19
1255088,8.743686,2.239762,-3.129924,2.87,3.08,-5.53,53.194096,27.996855,185.025787,-0.0478579999999997,0.0765729999999997,0.3756859999999999,8.767615000000001,2.2014755000000004,-3.3177669999999995,485,9.7,19
1255108,8.846581,2.290013,-2.976778,3.43,1.05,-4.41,50.588497,30.832979,185.54599,0.1028950000000001,0.0502510000000002,0.153146,8.795133500000002,2.2648875000000004,-3.0533509999999993,486,9.72,19
1255128,8.925548,2.380944,-3.062922,5.53,-1.47,-3.01,50.448494,31.642857,184.84938,0.0789669999999986,0.0909309999999998,-0.086144,8.8860645,2.3354785000000007,-3.0198499999999995,487,9.74,19
1255148,9.028442,2.220619,-3.304606,7.42,-3.01,-1.89,50.386379,30.589428,184.522873,0.1028940000000009,-0.1603249999999998,-0.2416840000000002,8.976995,2.3007815000000003,-3.1837639999999996,488,9.76,19
1255168,9.011692,2.105759,-3.522361,7.77,-3.29,-1.75,50.521671,29.778559,185.079163,-0.01675,-0.1148600000000001,-0.2177549999999999,9.020067,2.1631890000000005,-3.4134835,489,9.78,19
1255188,8.954262,2.012436,-3.632434,7.77,-2.66,-2.38,50.817581,30.242859,183.897797,-0.05743,-0.0933229999999998,-0.1100729999999998,8.982977000000002,2.0590975000000005,-3.5773974999999996,490,9.8,19
1255208,9.076301,2.167975,-3.682686,6.86,-2.52,-1.12,52.019577,30.862558,186.242584,0.1220390000000009,0.1555390000000001,-0.0502519999999999,9.0152815,2.0902055000000006,-3.6575599999999993,491,9.82,19
1255228,8.987762,2.349836,-3.723365,5.95,-1.05,-0.63,50.563194,29.227732,183.999939,-0.0885390000000008,0.1818609999999996,-0.0406789999999999,9.032031500000002,2.2589055000000005,-3.7030254999999994,492,9.84,19
1255248,8.904011,2.029186,-3.833439,6.23,1.05,1.33,51.037216,29.169956,185.808929,-0.0837509999999994,-0.3206499999999996,-0.110074,8.9458865,2.1895110000000004,-3.7784019999999994,493,9.86,19
1255268,8.89444,1.904755,-3.608505,10.57,2.94,2.73,50.965683,28.114544,185.201767,-0.0095710000000011,-0.1244310000000001,0.2249339999999997,8.8992255,1.9669705000000004,-3.720972,494,9.88,19
1255288,8.832224,1.821003,-3.378786,16.379999,3.92,2.73,51.342552,29.636242,184.908234,-0.0622159999999993,-0.083752,0.2297190000000002,8.863332,1.8628790000000004,-3.4936454999999995,495,9.9,19
1255308,8.714972,1.624785,-3.271105,22.26,2.24,1.82,47.999557,31.792906,184.612015,-0.1172520000000005,-0.196218,0.1076809999999999,8.773598,1.7228940000000004,-3.324945499999999,496,9.92,19
1255328,8.674292,1.698965,-3.115566,27.51,-0.77,0.84,52.181377,28.457346,186.796432,-0.04068,0.0741800000000001,0.1555390000000001,8.694632,1.6618750000000004,-3.193335499999999,497,9.94,19
1255348,8.746079,1.916719,-3.031815,27.440001,-2.94,-0.21,50.087399,27.204422,185.186493,0.0717870000000004,0.217754,0.0837509999999999,8.710185500000001,1.8078420000000004,-3.0736904999999997,498,9.96,19
