Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
5182,0.837518,-8.777187,4.783423,0.49,-3.29,-2.03,-71.358086,-17.944992,-97.328491,5.182,275
5197,0.878197,-8.770008,4.78103,-0.42,-2.94,-1.96,-69.901276,-16.030293,-93.914749,5.197,276
5217,0.825553,-8.851367,4.725994,-0.91,-2.45,-1.33,-68.811989,-19.674511,-94.988602,5.217,277
5237,0.808803,-8.92794,4.627884,0.07,-2.24,-0.7,-69.543785,-19.312437,-97.162491,5.237,278
5257,0.720265,-8.858545,4.647027,2.52,-2.66,-0.77,-70.097466,-19.472437,-96.346031,5.257,279
5272,0.741802,-8.76283,4.694886,3.5,-2.8,-1.26,-69.342987,-20.389299,-95.812683,5.272,280
5292,0.780088,-8.657541,4.757101,3.43,-3.22,-1.47,-68.709236,-20.212448,-94.24353,5.292,281
5312,0.794446,-8.652756,4.788209,2.87,-3.43,-1.33,-67.131233,-18.630795,-94.53447,5.312,282
5332,0.842304,-8.726935,4.742744,2.17,-3.22,-1.12,-69.366104,-20.114384,-95.343239,5.332,283
5347,0.82316,-8.748472,4.759494,2.31,-3.36,-0.77,-67.523872,-17.23575,-94.284546,5.347,284
5367,0.820767,-8.731722,4.807353,2.73,-3.78,-0.7,-70.115456,-18.916656,-94.565155,5.367,285
5387,0.842304,-8.726935,4.831282,2.24,-3.99,-0.7,-67.091026,-20.502035,-95.287003,5.387,286
5407,0.80641,-8.624041,4.792995,1.33,-3.71,-0.42,-67.863914,-19.309263,-95.210579,5.407,287
5422,0.713087,-8.612076,4.769066,0.35,-3.15,-0.35,-67.375771,-19.364065,-92.980583,5.422,288
5442,0.734623,-8.698221,4.74753,-0.21,-2.87,-0.42,-69.113472,-20.699547,-96.289772,5.442,289
5462,0.739409,-8.755651,4.740351,-0.63,-3.08,-0.7,-70.440056,-19.666777,-95.396881,5.462,290
5482,0.746587,-8.781973,4.783423,-0.35,-2.94,-0.77,-68.158943,-18.733021,-95.527008,5.482,291
5498,0.74898,-8.798723,4.804959,0.35,-2.87,-0.84,-68.2146,-18.185171,-94.868782,5.498,292
5518,0.765731,-8.793938,4.745137,1.12,-3.01,-0.98,-70.038315,-16.819708,-95.315445,5.518,293
5538,0.74898,-8.76283,4.735565,1.89,-3.22,-0.91,-72.043991,-14.373418,-96.550591,5.538,294
5558,0.775302,-8.676684,4.785816,1.96,-3.36,-1.05,-69.616104,-16.888388,-95.050072,5.558,295
5573,0.73223,-8.714972,4.771459,1.61,-3.64,-0.98,-69.532188,-17.430292,-94.866325,5.573,296
5593,0.792053,-8.64797,4.785816,0.91,-3.92,-0.98,-69.148972,-18.827316,-95.396904,5.593,297
5613,0.849482,-8.729329,4.78103,0.28,-3.78,-0.84,-69.167809,-18.831282,-95.958229,5.613,298
5633,0.820767,-8.79633,4.761887,0.07,-3.5,-0.84,-69.316795,-17.743513,-95.764404,5.633,299
5649,0.815982,-8.832224,4.752316,0.56,-3.36,-0.91,-67.82196,-19.580214,-95.118706,5.649,300
5669,0.851875,-8.770008,4.709243,1.05,-3.5,-0.91,-70.024185,-16.816734,-94.894455,5.669,301
5689,0.751373,-8.710185,4.800174,1.61,-3.5,-1.12,-70.268265,-16.789333,-96.009445,5.689,302
5709,0.820767,-8.712579,4.869568,1.33,-3.36,-1.12,-69.737373,-20.594545,-96.407166,5.709,303
5724,0.837518,-8.686256,4.910247,0.42,-2.87,-1.12,-68.099892,-20.600296,-95.718224,5.724,304
5744,0.758552,-8.770008,4.831282,-0.56,-1.96,-1.19,-68.397873,-18.424757,-95.330582,5.744,305
5764,0.787267,-8.827438,4.730779,-2.31,-1.82,-1.61,-70.058044,-17.864218,-94.378975,5.764,306
5784,0.792053,-8.837009,4.74753,-3.15,-1.61,-1.89,-69.10569,-17.777853,-95.631721,5.784,307
5799,0.804017,-8.827438,4.668564,-4.13,-1.47,-1.75,-67.609993,-19.054808,-92.643822,5.799,308
5819,0.892555,-9.030835,4.790602,-2.1,-2.17,-0.49,-69.821182,-15.532641,-95.36911,5.819,309
5839,0.890162,-8.89444,4.919819,-1.82,-1.96,1.26,-67.687103,-20.670958,-95.733513,5.839,310
