Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
1039,0.854268,-1.600855,-9.337128,7.21,1.26,-2.52,-51.307884,12.661654,-26.290098,1.039,55
1054,0.871019,-1.62957,-9.289269,6.3,-1.68,-1.19,-52.961243,11.064141,-28.244438,1.054,56
1074,0.849482,-1.706143,-9.370628,1.61,-3.57,-0.49,-51.955765,12.481826,-28.280237,1.074,57
1094,0.851875,-1.722894,-9.408915,-2.38,-3.85,-0.49,-52.194698,12.790092,-28.083805,1.094,58
1114,0.873411,-1.706143,-9.399343,-3.5,-4.41,-0.21,-52.651203,11.531416,-29.004797,1.114,59
1129,0.902126,-1.684607,-9.387379,-2.87,-5.39,0.21,-55.814735,14.967216,-30.477345,1.129,60
1149,0.847089,-1.698965,-9.45438,-2.31,-5.32,0.35,-51.512962,14.017402,-26.60914,1.149,61
1169,0.854268,-1.689393,-9.447201,-2.59,-4.97,-0.07,-51.812695,14.592651,-27.065903,1.169,62
1189,0.878197,-1.675036,-9.418487,-3.57,-3.92,-0.77,-50.899803,12.590001,-26.445719,1.189,63
1205,0.878197,-1.672643,-9.43763,-3.64,-2.87,-1.33,-53.696884,11.98497,-28.216465,1.205,64
1225,0.820767,-1.627177,-9.384986,-2.17,-3.29,-0.91,-50.958416,14.737148,-25.083408,1.225,65
1245,0.856661,-1.627177,-9.4137,0.21,-3.92,-0.28,-50.808537,14.689922,-26.775015,1.245,66
1265,0.808803,-1.646321,-9.428058,1.4,-3.5,-0.56,-51.322445,12.378807,-27.882185,1.265,67
1280,0.871019,-1.643928,-9.408915,0.7,-2.45,-1.47,-51.151543,14.215708,-26.996965,1.28,68
1300,0.837518,-1.615213,-9.483095,0.07,-1.82,-1.54,-52.180138,13.072938,-26.49172,1.3,69
1320,0.906912,-1.684607,-9.535739,0.42,0.56,-2.73,-53.996616,12.560222,-28.673229,1.32,70
1340,0.904519,-1.593677,-9.428058,2.52,2.45,-4.27,-52.837009,13.171001,-27.591423,1.34,71
1356,0.892555,-1.698965,-9.540524,6.02,4.55,-5.18,-51.416668,11.878184,-26.84881,1.356,72
1376,0.890162,-1.600855,-9.286877,9.1,4.41,-4.62,-51.086472,13.66984,-27.374537,1.376,73
1396,1.014593,-1.615213,-9.169623,8.33,-0.07,-1.96,-51.982277,14.076168,-28.277809,1.396,74
1416,1.002628,-1.765966,-9.428058,3.22,-3.64,-0.56,-51.583179,14.282404,-27.542994,1.416,75
1431,0.969128,-1.792288,-9.308413,-1.12,-3.08,-0.7,-51.306995,13.702197,-27.787882,1.431,76
