Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,Id,Time,gesture_id
316723,8.224425,2.751844,-4.64942,-1.26,3.36,-5.88,45.880222,27.973141,189.135971,0.0119640000000007,-0.0047859999999997,-0.0071789999999998,8.218443,2.7542370000000007,-4.645830500000001,1862,37.24,2
316743,8.229211,2.780559,-4.50106,2.1,3.22,-4.83,48.431484,27.005283,188.947311,0.0047859999999992,0.0287149999999996,0.1483600000000002,8.226818000000002,2.7662015000000006,-4.575240000000001,1863,37.26,2
316763,8.133494,2.742273,-4.381415,4.06,2.73,-4.13,46.274609,28.178387,189.730453,-0.0957169999999987,-0.0382859999999998,0.1196450000000002,8.181352500000001,2.7614160000000005,-4.441237500000001,1864,37.28,2
316783,8.104779,2.730308,-4.338342,4.76,2.38,-3.57,47.731766,26.33375,189.253525,-0.028715,-0.011965,0.0430729999999996,8.119136500000002,2.736290500000001,-4.359878500000001,1865,37.3,2
316803,8.092815,2.766202,-4.321592,4.9,2.17,-3.08,48.144993,26.542965,190.409317,-0.0119640000000007,0.0358939999999998,0.01675,8.098797000000001,2.7482550000000003,-4.329967000000001,1866,37.32,2
316823,8.102386,2.751844,-4.235447,5.18,1.75,-2.38,46.818874,28.336403,188.633331,0.0095709999999993,-0.0143579999999996,0.0861450000000001,8.0976005,2.759023000000001,-4.278519500000001,1867,37.34,2
316843,8.109566,2.821239,-4.185196,6.44,0.63,-1.47,45.192566,29.944422,189.069458,0.0071799999999999,0.0693949999999996,0.0502509999999993,8.105976,2.7865415000000007,-4.210321500000001,1868,37.36,2
316863,8.071279,2.706379,-4.230661,6.37,-0.91,-0.7,45.919224,29.301485,189.931931,-0.0382869999999986,-0.1148599999999997,-0.0454649999999992,8.0904225,2.7638090000000006,-4.207928500000001,1869,37.38,2
316883,8.138281,2.632199,-4.388594,5.74,-1.75,-0.42,47.330925,24.527227,187.674301,0.0670019999999986,-0.0741800000000001,-0.1579330000000007,8.104780000000002,2.669289000000001,-4.309627500000001,1870,37.4,2
316903,8.143066,2.577162,-4.431666,4.41,-1.47,-0.91,45.895561,24.776527,188.008469,0.004785,-0.055037,-0.0430719999999995,8.1406735,2.6046805000000006,-4.4101300000000005,1871,37.42,2
