Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,Id,Time,gesture_id
1253589,6.999256,-6.613998,2.306763,-14.28,-4.69,-9.24,42.766331,-25.97674,155.621552,-0.1005019999999996,-0.2057899999999994,-0.1340029999999998,7.049507,-6.511103,2.3737645,410,8.2,19
1253609,7.094973,-6.84611,2.148831,-17.639999,-5.11,-9.94,40.597858,-26.685783,154.108521,0.0957170000000005,-0.2321120000000007,-0.1579320000000001,7.047114500000001,-6.730054,2.227797,411,8.22,19
1253629,7.217011,-6.896361,1.895183,-16.59,-4.83,-9.87,43.46209,-29.266459,156.29541,0.1220379999999998,-0.0502509999999993,-0.2536479999999999,7.155992000000001,-6.8712355,2.0220070000000003,412,8.24,19
1253649,7.382122,-6.77193,1.701358,-13.09,-3.85,-8.47,44.049175,-28.819647,157.632355,0.1651109999999995,0.1244309999999995,-0.1938250000000001,7.299566500000001,-6.8341455,1.7982705,413,8.26,19
1253669,7.549625,-6.647499,1.672643,-8.54,-2.45,-6.58,41.85244,-29.534636,155.277344,0.1675029999999999,0.1244310000000004,-0.0287149999999998,7.465873500000001,-6.7097145000000005,1.6870005000000003,414,8.28,19
1253689,7.683628,-6.609212,1.648714,-4.69,-1.26,-4.9,43.443684,-28.990551,156.905182,0.1340029999999998,0.0382869999999995,-0.023929,7.616626500000001,-6.6283555,1.6606785000000004,415,8.3,19
1253709,7.597483,-6.532639,1.655892,-2.66,-0.42,-2.94,43.893291,-29.613029,155.670334,-0.0861449999999992,0.0765730000000006,0.0071779999999999,7.640555500000001,-6.5709254999999995,1.6523030000000003,416,8.32,19
1253729,7.394086,-6.834146,1.684607,-0.84,-0.63,-1.75,41.576256,-28.954428,155.522232,-0.2033970000000007,-0.3015069999999999,0.028715,7.495784500000001,-6.6833925,1.6702495000000002,417,8.34,19
1253749,7.28162,-6.762358,1.799467,1.4,-1.75,-0.63,42.402279,-28.81588,156.66275,-0.1124659999999995,0.0717879999999997,0.1148599999999999,7.337853000000001,-6.798252,1.7420370000000005,418,8.36,19
1253769,7.195475,-6.795859,1.830575,4.13,-2.1,0.49,43.195759,-28.404398,157.99205,-0.0861450000000001,-0.0335010000000002,0.0311080000000001,7.238547500000001,-6.7791084999999995,1.815021,419,8.38,19
1253789,7.267262,-6.767144,1.742037,6.79,-2.24,1.96,42.980831,-27.330505,156.221252,0.0717869999999996,0.028715,-0.088538,7.2313685,-6.7815015,1.7863060000000002,420,8.4,19
1253809,7.190689,-6.779109,1.813824,8.75,-0.98,3.43,42.317043,-29.594393,156.805679,-0.0765729999999997,-0.011965,0.071787,7.228975500000001,-6.7731265,1.7779305000000003,421,8.42,19
1253829,7.130866,-7.008828,1.780324,10.08,1.19,4.76,43.65062,-24.226007,159.290436,-0.0598229999999997,-0.2297190000000002,-0.0335,7.160777500000001,-6.8939685,1.7970740000000005,422,8.44,19
1253849,6.82936,-7.068651,1.907148,10.57,2.1,5.46,41.042301,-28.069921,155.402237,-0.3015059999999998,-0.0598229999999997,0.126824,6.980113000000001,-7.0387395,1.8437360000000005,423,8.46,19
1253869,6.764751,-6.999256,1.959792,10.22,2.52,5.67,44.423401,-29.938782,157.992203,-0.0646089999999999,0.0693950000000001,0.0526439999999999,6.797055500000001,-7.0339535,1.93347,424,8.48,19
1253889,6.621177,-6.941826,1.998078,9.17,2.38,4.55,43.128502,-29.738689,156.354111,-0.1435740000000001,0.05743,0.038286,6.692964000000002,-6.970541,1.9789350000000003,425,8.5,19
1253909,6.518281,-7.030364,1.861683,5.74,1.47,2.17,40.980614,-28.843477,156.246826,-0.1028960000000003,-0.0885379999999997,-0.136395,6.569729000000001,-6.986095,1.9298805000000003,426,8.52,19
1253929,6.441709,-7.508945,1.706143,2.8,-0.63,-0.7,42.796234,-28.890507,156.086136,-0.0765719999999996,-0.4785810000000001,-0.15554,6.479995000000001,-7.2696545,1.783913,427,8.54,19
1253949,6.345992,-7.422801,1.42378,2.52,-4.27,-3.36,41.019184,-27.795004,155.871674,-0.0957170000000005,0.086144,-0.2823629999999999,6.393850500000001,-7.465873,1.5649615000000003,428,8.56,19
1253969,6.049272,-7.461087,1.21799,-3.92,-12.46,-4.69,39.698635,-25.440828,156.578217,-0.2967199999999996,-0.0382860000000002,-0.2057900000000001,6.1976320000000005,-7.441944,1.320885,429,8.58,19
1253989,5.790838,-7.339049,1.000236,-5.25,-24.99,-4.06,40.996063,-27.520088,156.341125,-0.2584340000000003,0.1220379999999998,-0.217754,5.920055000000001,-7.400068,1.1091130000000002,430,8.6,19
1254009,5.697514,-7.214618,0.959556,-1.96,-40.599998,-3.08,39.841167,-28.129879,155.399643,-0.0933239999999999,0.1244310000000004,-0.0406799999999999,5.744176000000001,-7.2768335,0.979896,431,8.62,19
1254029,5.848268,-7.16676,0.619763,-0.14,-54.18,-5.04,43.19751,-26.804108,158.836456,0.150754,0.0478579999999997,-0.339793,5.772891000000001,-7.190689,0.7896595000000002,432,8.64,19
1254049,5.407972,-9.600348,-0.047858,12.18,-60.900002,-20.51,42.878048,-27.273365,159.316162,-0.440296,-2.4335880000000003,-0.6676209999999999,5.628120000000001,-8.383554,0.2859525000000002,433,8.66,19
1254069,5.419937,-9.995177,-0.859054,25.76,-56.349998,-42.91,42.781643,-29.65415,158.33403,0.011965,-0.3948289999999996,-0.811196,5.413954500000001,-9.7977625,-0.4534559999999997,434,8.68,19
1254089,5.058608,-9.475916,2.069865,36.610001,-63.349998,-69.650002,41.74802,-26.557783,158.749649,-0.3613289999999995,0.5192610000000002,2.928919,5.239272500000001,-9.7355465,0.6054055000000003,435,8.7,19
1254109,6.616391,-6.0397,2.194297,51.099998,-58.240002,-87.220001,42.586414,-28.016548,159.466736,1.5577829999999997,3.436216,0.1244320000000001,5.837499500000002,-7.757808,2.1320810000000003,436,8.72,19
1254129,7.642949,-2.56759,2.23019,25.690001,-56.07,-104.160004,43.757652,-25.042828,159.00473,1.0265579999999996,3.47211,0.0358929999999997,7.129670000000001,-4.3036449999999995,2.2122435000000005,437,8.74,19
1254149,8.509181,0.473796,1.328064,-49.91,-54.880001,-109.270004,45.852844,-26.989485,159.066177,0.8662320000000001,3.041386,-0.902126,8.076065,-1.046897,1.779127,438,8.76,19
1254169,9.827674,0.224933,0.794446,-154.070007,-47.25,-101.5,49.599747,-24.418922,161.459351,1.318493,-0.248863,-0.5336179999999999,9.1684275,0.3493644999999999,1.061255,439,8.78,19
1254189,10.191396,-1.514711,0.212969,-244.089996,-35.349998,-86.379997,46.64304,-20.738577,161.150269,0.3637219999999992,-1.739644,-0.581477,10.009535,-0.644889,0.5037075000000002,440,8.8,19
1254209,9.959284,-3.204104,-0.488153,-289.380005,-26.110001,-73.57,50.532879,-21.057985,167.375946,-0.2321119999999989,-1.689393,-0.701122,10.07534,-2.3594075,-0.1375919999999997,441,8.82,19
1254229,10.122002,-5.154324,-0.65805,-293.369995,-20.23,-69.370003,52.391315,-20.816219,169.649323,0.1627179999999999,-1.95022,-0.169897,10.040643,-4.179214,-0.5731014999999997,442,8.84,19
1254249,10.141145,-6.283777,-0.722658,-266.209991,-16.1,-70.279999,51.972145,-18.307631,173.741653,0.0191429999999996,-1.1294529999999998,-0.064608,10.131573500000002,-5.7190505,-0.6903539999999998,443,8.86,19
1254269,9.583597,-6.257455,-1.16056,-225.680008,-12.53,-74.970001,52.403885,-13.854326,175.509491,-0.5575480000000006,0.0263219999999995,-0.437902,9.862371,-6.270616,-0.9416089999999998,444,8.88,19
1254289,9.131337,-5.915269,-1.562569,-179.970001,-10.08,-78.82,52.423264,-9.050486,178.463699,-0.452259999999999,0.3421859999999999,-0.402009,9.357467,-6.086362,-1.3615644999999998,445,8.9,19
1254309,8.990156,-5.470188,-1.500353,-135.100006,-9.31,-78.330002,51.297943,-8.333911,178.037521,-0.1411809999999995,0.445081,0.062216,9.0607465,-5.6927285,-1.5314609999999995,446,8.92,19
1254329,8.999727,-3.744901,-1.80186,-110.32,-9.31,-75.040001,53.281929,-4.664869,180.637238,0.0095709999999993,1.7252870000000002,-0.3015069999999999,8.994941500000001,-4.6075445,-1.6511064999999998,447,8.94,19
1254349,9.136123,-2.979171,-1.737251,-93.239998,-7.91,-70.910004,53.772717,-2.078838,182.213852,0.1363959999999995,0.76573,0.0646089999999999,9.067925,-3.362036,-1.7695554999999998,448,8.96,19
1254369,9.332341,-1.387887,-2.036365,-86.239998,-5.74,-66.150002,52.164818,-0.746725,182.040207,0.196218,1.591284,-0.2991139999999999,9.234232,-2.183529,-1.886808,449,8.98,19
1254389,9.136123,-0.349365,-2.47666,-103.669998,-1.4,-63.700001,53.19944,1.717451,181.348602,-0.196218,1.0385220000000002,-0.4402949999999999,9.234232,-0.868626,-2.2565124999999995,450,9.0,19
1254409,9.040407,-0.248862,-2.979171,-132.649994,4.2,-63.279999,53.939018,4.277073,184.180542,-0.0957159999999994,0.1005029999999999,-0.5025110000000002,9.088265,-0.2991135,-2.7279155,451,9.02,19
1254429,8.973405,-0.763338,-3.029422,-140.139999,7.49,-64.050003,54.884129,6.241617,184.662643,-0.0670020000000004,-0.5144759999999999,-0.0502509999999998,9.006906,-0.5061,-3.0042964999999997,452,9.04,19
1254449,8.923154,-0.186647,-3.701829,-136.850006,9.45,-65.800003,56.822659,6.981033,185.481659,-0.0502509999999993,0.576691,-0.6724070000000002,8.948279500000002,-0.4749924999999999,-3.3656254999999997,453,9.06,19
1254469,9.016478,0.361329,-3.086851,-130.410004,8.75,-64.400002,57.021816,8.823882,187.208862,0.093323999999999,0.547976,0.6149780000000002,8.969816000000002,0.087341,-3.3943399999999997,454,9.08,19
1254489,9.842031,0.629335,-3.223247,-115.639999,5.6,-60.48,54.714764,14.765138,185.894333,0.8255530000000011,0.2680059999999999,-0.1363960000000004,9.4292545,0.495332,-3.155049,455,9.1,19
1254509,9.619491,1.95022,-3.271105,-125.090004,2.1,-55.650002,54.993587,16.825762,184.996078,-0.2225400000000004,1.320885,-0.0478579999999997,9.730761,1.2897775,-3.2471759999999996,456,9.12,19
1254529,9.509417,1.49796,-2.093795,-157.570007,-5.6,-57.610001,53.911114,18.311928,183.163986,-0.1100740000000009,-0.4522600000000001,1.17731,9.564454,1.72409,-2.68245,457,9.14,19
1254549,9.071514,0.681979,-1.045701,-163.589996,-15.47,-62.299999,54.968399,19.740519,184.671814,-0.4379029999999986,-0.815981,1.048094,9.2904655,1.0899695,-1.5697479999999997,458,9.16,19
1254569,8.714972,1.524282,-0.397223,-150.850006,-29.190001,-57.540001,54.590778,22.179079,183.844955,-0.356542000000001,0.8423029999999999,0.648478,8.893243000000002,1.1031305,-0.7214619999999998,459,9.18,19
1254589,8.820259,2.792524,-1.031343,-116.480003,-37.799999,-49.490002,52.852406,28.843056,184.477158,0.1052870000000005,1.268242,-0.6341199999999999,8.767615500000002,2.158403,-0.7142829999999997,460,9.2,19
1254609,9.423272,4.201947,-2.225405,-83.93,-40.950001,-39.41,52.027596,25.504919,181.788147,0.6030130000000007,1.409423,-1.194062,9.121765500000002,3.4972354999999995,-1.6283739999999995,461,9.22,19
1254629,10.043036,4.59199,-2.921741,-55.860001,-39.549999,-24.92,53.420219,29.006033,184.08168,0.619764,0.3900430000000003,-0.6963360000000001,9.733154000000004,4.3969685,-2.5735729999999997,462,9.24,19
1254649,10.203361,4.390986,-4.139731,-32.41,-33.18,-11.9,52.95266,30.665087,183.257416,0.1603249999999985,-0.2010040000000001,-1.2179900000000004,10.1231985,4.491488,-3.530736,463,9.26,19
1254668,9.889889,3.608505,-5.451045,-22.960001,-24.01,-2.1,52.084225,30.036819,184.693909,-0.3134719999999991,-0.7824809999999998,-1.3113139999999994,10.046625,3.9997455,-4.795387999999999,464,9.28,19
1254688,9.377807,2.316335,-5.876982,-14.35,-21.49,9.1,52.323158,29.728554,184.497482,-0.5120819999999995,-1.29217,-0.4259370000000002,9.633848,2.9624200000000007,-5.664013499999999,465,9.3,19
1254708,9.45438,2.017221,-5.661621,3.43,-17.290001,16.799999,50.404785,30.31352,183.913101,0.0765729999999997,-0.2991139999999999,0.2153609999999997,9.416093500000002,2.1667780000000008,-5.769301499999999,466,9.32,19
1254728,9.198339,2.711165,-4.422094,15.05,-12.39,20.23,50.119183,30.891745,183.877319,-0.2560409999999997,0.6939439999999997,1.2395269999999998,9.326359500000002,2.364193,-5.0418575,467,9.34,19
1254748,9.093051,2.981564,-3.577398,18.34,-7.63,22.82,52.01487,30.861567,186.102249,-0.1052879999999998,0.2703990000000003,0.8446960000000003,9.145695000000002,2.8463645000000004,-3.999746,468,9.36,19
1254768,8.848974,2.696807,-3.163424,20.02,-5.11,25.83,51.342979,29.916115,186.079346,-0.2440770000000007,-0.2847569999999999,0.413974,8.9710125,2.8391855000000006,-3.370411,469,9.38,19
1254788,8.834617,2.077044,-3.402715,19.32,-1.4,24.99,51.173397,29.399632,184.867432,-0.0143570000000003,-0.6197630000000003,-0.2392910000000001,8.8417955,2.3869255000000003,-3.2830695,470,9.4,19
1254808,8.554646,1.500353,-3.598934,12.74,3.22,20.16,53.221466,26.962261,187.365555,-0.2799709999999997,-0.5766909999999998,-0.1962189999999997,8.6946315,1.7886985000000004,-3.5008244999999993,471,9.42,19
1254828,8.35125,0.949984,-3.486467,5.81,5.53,13.09,50.311775,26.61331,183.39798,-0.2033959999999997,-0.550369,0.1124669999999996,8.452948000000001,1.2251685000000003,-3.5427004999999996,472,9.44,19
1254848,8.413465,0.942806,-3.017457,5.25,3.5,7.35,51.854706,30.347067,185.171005,0.0622150000000001,-0.007178,0.4690100000000003,8.382357500000001,0.9463950000000004,-3.251962,473,9.46,19
1254868,8.633613,1.42378,-2.811667,11.69,-1.05,3.15,52.693108,28.8883,185.888092,0.220148,0.480974,0.2057899999999999,8.523539000000001,1.1832930000000004,-2.914561999999999,474,9.48,19
1254888,8.688649,1.62957,-2.885847,10.92,-4.97,-0.56,51.730907,28.520079,185.689087,0.0550359999999994,0.2057899999999999,-0.0741800000000001,8.661131000000001,1.5266750000000004,-2.8487569999999995,475,9.5,19
1254908,8.77958,1.416602,-3.273498,2.94,-6.51,-3.64,51.007214,27.563721,184.122543,0.0909309999999994,-0.212968,-0.3876509999999999,8.7341145,1.5230860000000002,-3.0796724999999996,476,9.52,19
1254928,8.923154,1.174918,-3.555861,-5.53,-6.44,-5.88,49.888351,29.881577,184.681107,0.1435740000000009,-0.241684,-0.2823630000000001,8.851367,1.2957600000000002,-3.4146794999999996,477,9.54,19
1254948,8.92794,1.548212,-3.709008,-9.8,-5.25,-7.35,51.842216,27.424379,184.37262,0.0047859999999992,0.373294,-0.1531469999999997,8.925547000000002,1.361565,-3.6324345,478,9.56,19
1254968,9.207911,1.835361,-3.728151,-10.57,-2.66,-8.05,52.449894,29.475447,187.115295,0.2799709999999997,0.2871490000000001,-0.0191430000000001,9.0679255,1.6917865000000003,-3.7185795,479,9.58,19
1254988,9.114587,1.93347,-3.632434,-9.17,0.21,-7.42,50.584106,26.59186,185.35495,-0.093323999999999,0.098109,0.095717,9.161249000000002,1.8844155,-3.6802924999999993,480,9.6,19
1255008,9.090658,2.026793,-3.644399,-6.37,2.66,-6.79,50.625748,30.561037,185.497543,-0.0239290000000007,0.093323,-0.011965,9.1026225,1.9801315000000008,-3.638416499999999,481,9.62,19
