Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,acc_ma_x,acc_ma_y,acc_ma_z,acc_diff_x,acc_diff_y,acc_diff_z,Unnamed: 17
1019846,-9.373021,2.132081,2.507768,0.77,-2.17,-0.35,-53.325924,47.970264,55.682823,11.32,-9.386182,2.142849,2.4838385,0.0263220000000004,-0.0215360000000002,0.0478589999999998,
1019866,-9.39695,2.120116,2.459909,0.98,-2.24,-0.49,-54.451675,48.406967,54.085548,11.34,-9.3849855,2.1260985,2.4838385,-0.0239290000000007,-0.011965,-0.0478589999999998,
1019886,-9.353878,2.191904,2.443159,1.68,-2.38,-0.56,-53.977654,48.34919,55.89455,11.36,-9.375414,2.15601,2.451534,0.0430720000000004,0.0717880000000001,-0.01675,
1019901,-9.368236,2.132081,2.371372,2.24,-2.52,-0.84,-54.494518,47.637375,55.491459,11.38,-9.361057,2.1619925,2.4072655000000003,-0.0143579999999996,-0.0598230000000001,-0.071787,
1019921,-9.406522,2.117724,2.474267,2.03,-2.73,-1.12,-55.128273,47.460522,53.92231,11.4,-9.387379,2.1249025,2.4228195,-0.0382860000000011,-0.0143569999999999,0.1028950000000001,
1019941,-9.483095,2.134474,2.459909,1.26,-2.8,-0.7,-55.621483,51.273666,55.442669,11.42,-9.4448085,2.126099,2.4670880000000004,-0.0765729999999997,0.01675,-0.014358,
1019961,-9.507024,2.122509,2.380944,1.12,-2.87,-0.42,-54.928333,45.823914,52.929924,11.44,-9.4950595,2.1284915,2.4204265,-0.0239289999999989,-0.011965,-0.0789650000000001,
1019976,-9.423272,2.206261,2.388122,1.4,-2.66,-0.7,-54.473042,50.282173,55.399403,11.46,-9.465148,2.164385,2.384533,0.0837519999999987,0.083752,0.0071780000000001,
1019996,-9.377807,2.187118,2.416837,1.12,-2.59,-0.84,-54.836208,48.483578,54.942822,11.48,-9.4005395,2.1966894999999997,2.4024795,0.045465,-0.0191430000000001,0.028715,
1020016,-9.444808,2.148831,2.41923,1.33,-2.52,-0.84,-54.629383,48.728119,56.10627,11.5,-9.4113075,2.1679744999999997,2.4180335,-0.0670009999999994,-0.0382869999999999,0.002393,
1020036,-9.387379,2.141653,2.378551,1.75,-2.59,-0.98,-53.519939,46.408283,55.267052,11.52,-9.4160935,2.1452419999999996,2.3988905000000003,0.0574290000000008,-0.0071780000000001,-0.0406790000000003,
1020051,-9.428058,2.132081,2.426409,1.54,-2.66,-1.05,-54.644375,48.165398,53.343086,11.54,-9.4077185,2.1368669999999996,2.4024799999999997,-0.0406790000000008,-0.0095719999999999,0.0478580000000001,
1020071,-9.406522,2.13926,2.412051,0.84,-2.52,-0.98,-55.044357,46.918621,54.106056,11.56,-9.41729,2.1356705,2.41923,0.0215359999999993,0.0071790000000002,-0.014358,
1020091,-9.32277,2.13926,2.404873,0.98,-2.24,-1.05,-55.033615,48.241016,54.060032,11.58,-9.364646,2.13926,2.408462,0.0837520000000004,0.0,-0.0071780000000001,
1020111,-9.356271,2.141653,2.409658,0.91,-2.1,-1.19,-55.141968,47.737423,54.672413,11.6,-9.3395205,2.1404565,2.4072655,-0.0335009999999993,0.0023929999999996,0.004785,
1020127,-9.389771,2.187118,2.459909,0.56,-2.03,-1.12,-56.393597,48.986977,52.799515,11.62,-9.373021,2.1643855,2.4347835,-0.0335,0.045465,0.0502510000000002,
1020147,-9.375414,2.167975,2.371372,0.63,-1.96,-0.84,-53.223171,47.432327,56.427895,11.64,-9.3825925,2.1775465,2.4156405000000003,0.0143570000000003,-0.0191429999999996,-0.088537,
1020167,-9.43763,2.167975,2.395301,0.84,-1.68,-1.12,-55.716564,50.213295,54.133854,11.66,-9.406522,2.167975,2.3833365,-0.0622160000000011,0.0,0.0239289999999998,
1020187,-9.463951,2.163189,2.407265,0.42,-1.68,-1.33,-55.112392,49.063786,55.187706,11.68,-9.4507905,2.165582,2.4012830000000003,-0.0263209999999993,-0.0047860000000001,0.0119640000000003,
1020203,-9.428058,2.09858,2.41923,0.14,-1.68,-1.47,-54.304005,45.998783,54.218414,11.7,-9.4460045,2.1308845,2.4132475,0.0358929999999997,-0.0646089999999999,0.011965,
