Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
257523,3.127531,-2.823632,3.007885,-48.02,-126.139999,-82.739998,-38.393654,-17.498653,-57.51722,257.523,13677,0.8614469999999996,-0.25843499999999997,-0.9619499999999999,2.696807500000003,-2.6944145000000055,3.48885999999999,38
257543,5.329006,-2.371372,2.232583,-50.049999,-124.739998,-71.75,-38.373062,-15.894399,-56.111488,257.543,13678,2.201475,0.4522599999999999,-0.7753019999999999,4.228268500000002,-2.5975020000000058,2.62023399999999,38
257563,7.762594,-1.249098,1.007414,-61.810001,-115.290001,-64.120003,-39.411942,-17.598896,-58.229099,257.563,13679,2.4335880000000003,1.122274,-1.225169,6.545800000000003,-1.8102350000000056,1.6199984999999901,38
257579,8.669506,-1.768359,0.134003,-80.639999,-102.129997,-60.619999,-34.644245,-17.288052,-53.159241,257.579,13680,0.9069120000000002,-0.519261,-0.873411,8.216050000000003,-1.5087285000000055,0.5707084999999903,38
257599,8.315355,-2.134474,-0.88059,-87.290001,-80.849998,-54.32,-32.563534,-15.478355,-49.628109,257.599,13681,-0.3541509999999999,-0.36611499999999997,-1.014593,8.492430500000003,-1.9514165000000054,-0.37329350000000977,38
257619,8.243568,-1.789895,-1.823396,-89.18,-56.420002,-44.450001,-35.569981,-14.448757,-50.687126,257.619,13682,-0.07178700000000049,0.34457899999999997,-0.942806,8.279461500000004,-1.9621845000000053,-1.3519930000000098,38
257639,9.650599,-1.294563,-2.376158,-99.889999,-28.77,-31.08,-35.114796,-14.510498,-49.439445,257.639,13683,1.407031,0.4953320000000001,-0.5527620000000002,8.947083500000002,-1.5422290000000052,-2.0997770000000098,38
257654,12.589089,0.473796,-2.459909,-118.370003,2.87,-15.68,-36.111176,-11.68607,-49.072285,257.654,13684,2.93849,1.7683589999999998,-0.08375099999999991,11.119844000000002,-0.4103835000000053,-2.4180335000000097,38
257674,14.182766,1.170132,-2.175153,-148.119995,36.540001,-6.86,-32.969009,-13.246667,-46.285885,257.674,13685,1.5936770000000013,0.696336,0.28475600000000023,13.385927500000003,0.8219639999999946,-2.3175310000000096,38
257694,14.020048,0.260827,-1.526675,-165.899994,69.510002,-2.94,-35.749004,-15.448021,-48.339718,257.694,13686,-0.1627180000000017,-0.909305,0.6484779999999999,14.101407000000002,0.7154794999999946,-1.8509140000000097,38
257714,13.651541,0.155539,1.119881,-151.759995,97.510002,15.61,-34.121838,-16.496296,-46.433655,257.714,13687,-0.36850699999999925,-0.10528799999999996,2.646556,13.835794500000002,0.2081829999999948,-0.20339700000000982,38
257729,14.347877,0.330221,4.256983,-99.260002,113.120003,35.77,-35.273773,-18.705383,-48.079205,257.729,13688,0.6963360000000005,0.17468199999999998,3.137102,13.999709000000003,0.2428799999999948,2.68843199999999,38
257749,13.929118,0.20579,5.144753,-36.400002,122.080002,41.16,-34.881916,-16.620968,-45.609547,257.749,13689,-0.41875899999999966,-0.12443099999999999,0.8877699999999997,14.138497500000003,0.2680054999999948,4.70086799999999,38
257769,13.268676,0.899733,6.570926,13.02,133.419998,44.450001,-35.355827,-12.043189,-46.196743,257.769,13690,-0.6604420000000015,0.693943,1.4261730000000004,13.598897000000003,0.5527614999999948,5.85783949999999,38
257789,12.799665,0.966735,9.308413,61.599998,137.899994,44.310001,-35.491661,-16.032194,-49.145927,257.789,13691,-0.46901100000000007,0.067002,2.737487,13.034170500000002,0.9332339999999948,7.93966949999999,38
257804,12.438336,0.380472,11.897539,126.559998,132.789993,37.170002,-36.14043,-17.252563,-49.638283,257.804,13692,-0.36132899999999957,-0.586263,2.5891260000000003,12.619000500000002,0.6736034999999948,10.602975999999991,38
257824,11.911897,0.65805,12.287583,200.479996,123.760002,28.77,-39.376362,-15.431922,-54.060184,257.824,13693,-0.5264389999999999,0.27757800000000005,0.3900439999999996,12.175116500000001,0.5192609999999949,12.09256099999999,38
257844,11.53621,4.067944,10.258397,247.660004,117.879997,17.15,-38.307125,-15.880521,-54.14687,257.844,13694,-0.3756869999999992,3.4098939999999995,-2.0291859999999993,11.724053500000004,2.3629969999999947,11.27298999999999,38
257864,9.863567,8.880082,9.346699,221.619995,104.440002,6.72,-38.560162,-15.094432,-58.211403,257.864,13695,-1.6726430000000008,4.812138,-0.9116980000000012,10.699888500000004,6.474012999999994,9.802547999999991,38
257880,8.190925,11.0672,9.631455,115.150002,69.019997,8.47,-40.340149,-11.918836,-61.56176,257.88,13696,-1.6726419999999997,2.187118,0.28475600000000156,9.027246000000002,9.973640999999994,9.489076999999991,38
257900,7.56159,9.839638,11.78268,-8.61,18.059999,17.99,-40.374004,-12.966317,-61.046284,257.9,13697,-0.6293350000000002,-1.227561999999999,2.1512249999999984,7.876257500000003,10.453418999999997,10.70706749999999,38
257920,7.65252,5.443866,13.472073,-79.029999,-32.970001,28.0,-40.839813,-9.706973,-61.026134,257.92,13698,0.09093000000000018,-4.395772000000001,1.6893930000000008,7.607055000000003,7.641751999999996,12.62737649999999,38
257940,8.183745,2.502982,12.768558,-86.309998,-71.050003,32.200001,-41.933918,-10.583749,-61.314415,257.94,13699,0.5312250000000001,-2.940884,-0.7035149999999994,7.918132500000002,3.973423999999995,13.12031549999999,38
257955,8.710185,0.428331,10.947555,-76.090004,-96.949997,24.15,-41.458576,-9.321107,-59.832104,257.955,13700,0.5264399999999991,-2.074651,-1.821003000000001,8.446965000000002,1.4656564999999955,11.85805649999999,38
257975,9.076301,-1.237134,9.038013,-69.370003,-110.459999,2.87,-41.310043,-11.169546,-57.357048,257.975,13701,0.36611600000000166,-1.665465,-1.909542,8.893243000000002,-0.4044015000000044,9.99278399999999,38
257995,9.56206,-3.251962,7.178724,-64.889999,-110.529999,-24.99,-41.215496,-14.909053,-58.441128,257.995,13702,0.48575899999999983,-2.0148279999999996,-1.8592889999999995,9.319180500000003,-2.2445480000000044,8.10836849999999,38
258015,9.643419,-3.869332,5.491724,-60.830002,-105.629997,-53.27,-41.283535,-12.763887,-57.359478,258.015,13703,0.08135899999999907,-0.6173700000000002,-1.6870000000000003,9.602739500000002,-3.5606470000000043,6.3352239999999895,38
258030,9.959284,-3.744901,3.82626,-61.810001,-97.370003,-80.290001,-41.057869,-12.515381,-55.634705,258.03,13704,0.3158650000000005,0.12443099999999996,-1.6654639999999996,9.801351500000003,-3.8071165000000047,4.65899199999999,38
258050,9.856388,-3.548683,2.27087,-67.059998,-86.239998,-103.669998,-39.592072,-10.878572,-53.111401,258.05,13705,-0.10289599999999943,0.196218,-1.55539,9.907836000000003,-3.6467920000000045,3.04856499999999,38
