Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time
3494,-0.301506,3.723365,9.377807,2.94,-1.47,1.96,-80.150475,-61.97485,-73.252403,186,3.494
3514,-0.574298,3.90044,9.399343,3.57,-3.15,1.68,-79.21875,-63.973534,-72.070908,187,3.514
3529,-0.689158,3.292642,9.60274,4.55,-4.97,2.38,-77.913216,-67.371231,-71.700645,188,3.529
3549,-0.399616,3.718579,9.69367,6.09,-5.32,3.92,-80.091423,-63.842125,-73.443619,189,3.549
3569,-0.488153,3.84301,9.593168,3.92,-5.18,4.27,-81.057907,-63.931461,-72.61187,190,3.569
3589,-0.390044,3.639613,9.344306,4.69,-5.04,3.57,-81.624832,-63.053894,-73.71418,191,3.589
3604,-0.670014,3.443395,9.262947,4.27,-5.11,3.22,-80.964897,-60.231258,-72.096748,192,3.604
3624,-0.54319,3.445788,9.365842,4.83,-5.88,2.94,-82.576721,-62.379589,-75.130318,193,3.624
3644,-0.442688,3.630042,9.193553,4.13,-6.09,2.59,-80.334648,-63.254978,-72.216423,194,3.644
3664,-0.404401,3.651578,9.418487,4.13,-5.74,2.24,-81.387108,-60.162579,-72.362122,195,3.664
3679,-0.564726,3.586969,9.748708,3.15,-5.04,1.96,-78.829063,-63.769279,-71.616745,196,3.679
3699,-0.492939,3.773616,9.650599,3.57,-4.83,1.82,-80.400146,-62.988983,-73.009949,197,3.699
3719,-0.313471,3.720972,9.363449,3.99,-4.69,1.82,-80.034912,-63.830227,-71.759659,198,3.719
3739,-0.351757,3.948298,9.246197,3.71,-5.25,1.96,-77.860405,-61.799782,-70.432991,199,3.739
3754,-0.48576,3.452966,9.320377,3.43,-6.3,2.59,-78.98584,-65.60321,-72.080978,200,3.754
3774,-0.370901,3.811903,9.380199,5.32,-6.86,3.01,-79.951431,-64.652,-72.747009,201,3.774
3794,-0.248862,3.795152,9.317985,3.64,-6.3,2.52,-80.14238,-63.293282,-72.645058,202,3.794
3814,-0.220148,3.847796,9.310805,1.82,-5.39,1.4,-79.201546,-61.049858,-71.132187,203,3.814
3830,-0.461831,3.503217,9.473523,-0.14,-4.76,0.77,-79.268372,-62.104279,-71.59903,204,3.83
3850,-0.605406,3.665935,9.667349,-0.63,-4.69,0.77,-80.129562,-64.610725,-71.897377,205,3.85
3870,-0.397223,3.776009,9.483095,0.49,-3.85,0.56,-78.992188,-62.684483,-71.84391,206,3.87
3890,-0.129217,4.008121,9.155267,0.14,-3.71,0.35,-77.905861,-64.729408,-72.213692,207,3.89
3905,-0.227326,3.84301,9.009299,-0.77,-4.13,-0.14,-80.458771,-60.841839,-71.647636,208,3.905
3925,-0.086145,3.821474,9.05955,-3.99,-5.11,-1.26,-80.176231,-64.340767,-72.129585,209,3.925
3945,-0.287149,3.639613,9.038013,-6.3,-5.32,-2.45,-78.462936,-63.569981,-71.864243,210,3.945
3965,-0.521654,3.187354,10.009535,-4.97,-5.39,-1.54,-80.894791,-65.016258,-72.384705,211,3.965
